"LAD21NM","RGN21NM","No_Companies","Employees","Turnover"
"Winchester","South East",139,4271.50332846104,1252359214.234398
"Broxbourne","East of England",102,4926.5478349079,2076800024.1237886
"Dacorum","East of England",71,434.8467123691582,141003775.96789768
"Hertsmere","East of England",54,965.6666666666667,249746514.1666667
"North Hertfordshire","East of England",72,273.0677342265578,135743119.83844587
"Three Rivers","East of England",176,463.20164923572,401785197.2138509
"Watford","East of England",39,167.48350041771096,32510329.600250628
"Ashford","South East",94,1341.4043801170767,298532109.1538445
"Canterbury","South East",45,159.22233893557424,45565288.40336134
"Dartford","South East",63,365.4859630336561,154340665.4040182
"Dover","South East",44,263.4117647058824,45686292.196078435
"Gravesham","South East",47,305.32272727272726,116824662.66666667
"Maidstone","South East",257,973.2134527180224,288681504.08231205
"Sevenoaks","South East",75,759.7363300471234,239359255.1126562
"Folkestone and Hythe","South East",16,707.8146447369509,352299206.45105064
"Swale","South East",80,832.5278656298661,224913608.099979
"Thanet","South East",29,105.18097516518569,45606478.736614265
"Tonbridge and Malling","South East",122,932.9292984153698,251219663.58893815
"Tunbridge Wells","South East",54,401.54525761666787,64961824.939936854
"Burnley","North West",31,157.6780303030303,30198377.533590622
"Chorley","North West",71,325.7118910501263,47170503.802961744
"Fylde","North West",80,896.7387250161187,101347730.10667312
"Hyndburn","North West",19,200.68498256905337,63030752.375972115
"Lancaster","North West",80,902.3623807736811,381108067.91183823
"Pendle","North West",21,416.25,88767491.91666667
"Preston","North West",69,1367.0089458735506,374939291.05360466
"Ribble Valley","North West",19,184.87878787878788,37568188.45454545
"Rossendale","North West",10,22,2413066.5
"South Ribble","North West",54,287.9300987274048,47967602.68650961
"West Lancashire","North West",53,460.99408215897574,101087611.39476836
"Wyre","North West",37,564.811118064247,302888571.65310806
"Blaby","East Midlands",83,593.82509881422925,262024243.82213438
"Charnwood","East Midlands",252,641.1607079182088,161426461.1782179
"Harborough","East Midlands",82,1243.1878125048554,287104271.2625301
"Hinckley and Bosworth","East Midlands",66,626.3704560944285,260902825.07336602
"Melton","East Midlands",75,650.1287872888523,174576591.00474092
"North West Leicestershire","East Midlands",105,1124.982464383255,386379154.8119449
"Oadby and Wigston","East Midlands",9,30.166666666666668,3801105.5
"Boston","East Midlands",14,246.87703349282296,167069233.9218501
"East Lindsey","East Midlands",29,145.9142857142857,31741824.285714284
"Lincoln","East Midlands",74,1889.981593537494,545197380.1536754
"North Kesteven","East Midlands",43,533.266499582289,246535586.9189641
"South Holland","East Midlands",26,986.433011732872,332194888.45395494
"South Kesteven","East Midlands",130,1360.5398650670911,320208706.28465307
"West Lindsey","East Midlands",47,564.5140056022409,111957663.83193277
"Breckland","East of England",91,600.6347111087649,189501890.54217613
"Broadland","East of England",48,279.4395280235988,43856581.43657817
"Great Yarmouth","East of England",62,2191.409750337382,1017899578.7374061
"King's Lynn and West Norfolk","East of England",89,440.16301677948536,130779504.33372654
"North Norfolk","East of England",64,908.4675096832992,338853759.2211362
"Norwich","East of England",63,352.49743945796575,217702700.84164587
"South Norfolk","East of England",104,1641.9606612066846,558443467.3489094
"Craven","Yorkshire and The Humber",19,91.24019607843137,60648944.78431372
"Hambleton","Yorkshire and The Humber",66,461.66269841269843,105486895.85317461
"Harrogate","Yorkshire and The Humber",267,580.0430576907806,167486266.61447203
"Richmondshire","Yorkshire and The Humber",14,136.6846405228758,85485356.72875817
"Ryedale","Yorkshire and The Humber",32,257.5,41406852
"Scarborough","Yorkshire and The Humber",18,198.54575163398692,50003840.42320262
"Selby","Yorkshire and The Humber",84,2831.573168661404,9903531282.444126
"Ashfield","East Midlands",18,103.01546489563567,37928078.950980395
"Bassetlaw","East Midlands",69,486.27181259600616,145471901.15937018
"Broxtowe","East Midlands",82,1010.7616300366301,790935468.1700549
"Gedling","East Midlands",74,357.9103289067174,87839291.5116653
"Mansfield","East Midlands",23,127.70175438596492,21407326.29072682
"Newark and Sherwood","East Midlands",156,1614.204195244332,425329893.36365205
"Rushcliffe","East Midlands",31,666.4954954954954,273812755.3738739
"Cherwell","South East",111,1958.5187547219805,762892564.1194173
"Oxford","South East",112,1929.0333333333333,504247904.5555556
"South Oxfordshire","South East",139,1781.2802644666453,759883336.8174317
"Vale of White Horse","South East",219,1651.562780882905,524523407.991686
"West Oxfordshire","South East",86,945.7237589202585,326254627.2314526
"Mendip","South West",135,1235.741628863935,186977660.65506557
"Sedgemoor","South West",77,1395.272525744832,1239587503.5356216
"South Somerset","South West",84,1301.1823107737719,639238951.7283564
"Cannock Chase","West Midlands",89,1088.2138335197342,240355786.60462442
"East Staffordshire","West Midlands",31,421.8780165912519,115024242.68174963
"Lichfield","West Midlands",65,429.8593809647753,54675138.49295072
"Newcastle-under-Lyme","West Midlands",59,586.5959665490955,178305500.88341108
"South Staffordshire","West Midlands",49,794.0175446148506,170008799.75166112
"Stafford","West Midlands",52,931.7923477796267,447872479.3737673
"Staffordshire Moorlands","West Midlands",200,531.2912065738068,293295814.95059335
"Tamworth","West Midlands",13,36.07843137254902,9221354.362745099
"Babergh","East of England",33,174.84639076869686,25985970.554225232
"Ipswich","East of England",46,864.1292451589491,544273655.8736049
"Mid Suffolk","East of England",79,891.1029697160653,791486241.1712967
"Elmbridge","South East",49,441.98512915329036,192329057.4767178
"Epsom and Ewell","South East",35,636.9030303030303,112101934.56060606
"Guildford","South East",173,1057.4255506914176,329484306.2150722
"Mole Valley","South East",44,971.0793263265729,170133536.92777455
"Reigate and Banstead","South East",87,1814.5978260869565,597207058.4130435
"Runnymede","South East",33,392.8253968253968,154102389.72222224
"Spelthorne","South East",33,171.4598108747045,37892819.56323877
"Surrey Heath","South East",34,502.2168337510443,223893784.73358396
"Tandridge","South East",79,698.2243054961352,181798190.51804623
"Waverley","South East",84,1214.8375886524823,166819285.28546098
"Woking","South East",37,369.4271166760811,120022990.40539669
"North Warwickshire","West Midlands",60,1770.5671802054155,531084384.02240896
"Nuneaton and Bedworth","West Midlands",27,480.2896951079764,278545537.70349544
"Rugby","West Midlands",90,2354.618956043956,613998330.9977106
"Stratford-on-Avon","West Midlands",190,1836.4321433448401,759774400.6593165
"Warwick","West Midlands",155,1938.932643105089,1940397987.1144345
"Adur","South East",129,11579.574033213165,2159363112.7637844
"Arun","South East",103,917.0405817714824,206347212.84429032
"Chichester","South East",56,167.43960084033614,22953111.334908966
"Crawley","South East",91,1836.6951375969647,1682353672.4439087
"Horsham","South East",75,938.1600678733032,101733058.0317738
"Mid Sussex","South East",62,470.5931693462982,62763639.78772344
"Worthing","South East",78,1179.8824320416425,1357371172.1859982
"Bromsgrove","West Midlands",46,509.3284169124877,89287162.93657817
"Malvern Hills","West Midlands",48,233.18333333333334,28052574.383333333
"Redditch","West Midlands",40,315.93714678853996,56712649.867020495
"Worcester","West Midlands",42,1665.106862745098,398138655.7176471
"Wychavon","West Midlands",67,337.89928698752226,163126199.73885918
"Wyre Forest","West Midlands",26,323.5,74528662
"St Albans","East of England",100,1312.184465420347,501025323.9707607
"Welwyn Hatfield","East of England",35,168.72115384615384,69899688.6474359
"East Hertfordshire","East of England",88,340.8288288288288,155321949.3738739
"Stevenage","East of England",24,860.6779448621554,192761609.26691732
"East Suffolk","East of England",79,1708.9236722059304,644370047.3944407
"West Suffolk","East of England",140,2616.998836970646,663301681.3101674
"Somerset West and Taunton","South West",164,3352.3214738727274,1806474661.5463195
"Bolton","North West",78,480.961589159035,77779897.99091555
"Bury","North West",74,422.7354997943233,122579934.27126305
"Manchester","North West",340,6578.351441998543,5032189380.875407
"Oldham","North West",59,840.8794671345687,270096024.01496756
"Rochdale","North West",43,309.7835497835498,166511952.05200356
"Salford","North West",120,1581.5790193330865,551322517.8992088
"Stockport","North West",107,642.7965996081758,371952316.52934605
"Tameside","North West",79,369.2306628580286,147887839.38242215
"Trafford","North West",353,1721.1921496585178,692166580.2290403
"Wigan","North West",131,8105.841829796534,1713727661.1401625
"Knowsley","North West",58,3842.782317536265,1392479665.2849452
"Liverpool","North West",329,2115.817466131782,556791771.1182113
"St. Helens","North West",64,415.58642146122116,161554218.37879845
"Sefton","North West",45,648.487214779081,163587182.42329454
"Wirral","North West",147,1167.4296070702062,319574151.893726
"Barnsley","Yorkshire and The Humber",163,1278.9522109186796,599339310.8495309
"Doncaster","Yorkshire and The Humber",199,2377.749133098166,779282886.2506076
"Rotherham","Yorkshire and The Humber",60,616.4272016796635,284327030.7656832
"Sheffield","Yorkshire and The Humber",168,3375.495223999519,624213997.4136934
"Newcastle upon Tyne","North East",226,4295.550896876676,1660904350.7820222
"North Tyneside","North East",94,3210.486173392829,1348397625.8950384
"South Tyneside","North East",33,716.517834942835,242817229.6910867
"Sunderland","North East",161,4130.5864233891325,2297270930.5760093
"Birmingham","West Midlands",315,2586.3976647596155,1853653120.878243
"Coventry","West Midlands",94,2186.956342505104,1030235728.0940084
"Dudley","West Midlands",176,1943.277020859616,556982257.7638673
"Sandwell","West Midlands",107,1165.08207820838,406266545.7861722
"Solihull","West Midlands",80,963.3287878787879,858010714.4671717
"Walsall","West Midlands",110,1026.2872481164936,303975372.4606612
"Wolverhampton","West Midlands",53,382.87553442429606,192787051.95223352
"Bradford","Yorkshire and The Humber",120,1330.2752255226715,499012140.5967236
"Calderdale","Yorkshire and The Humber",74,846.4454711294824,137344088.0105049
"Kirklees","Yorkshire and The Humber",102,616.8981170737193,103392609.45756924
"Leeds","Yorkshire and The Humber",611,13819.23969238644,9180688348.014734
"Wakefield","Yorkshire and The Humber",97,2501.1730061063254,712190446.8259114
"Gateshead","North East",234,3214.4186927933497,603085194.4183058
"City of London","London",1493,44362.01078849213,39863427558.000206
"Barking and Dagenham","London",79,857.3604332227726,472092969.03953916
"Barnet","London",191,468.82758411179464,152067803.29758108
"Bexley","London",90,713.8600605562235,286643392.1582381
"Brent","London",99,3466.1709796730847,575864374.8421078
"Bromley","London",80,1165.8701152119813,549602967.8992685
"Camden","London",724,17564.08542395773,7360768154.038696
"Croydon","London",102,3158.331833679139,1523329231.4011674
"Ealing","London",228,745.4718741358498,337131404.5114588
"Enfield","London",127,769.9292986118837,324126912.38376737
"Greenwich","London",135,1387.0306169274031,843996533.2409215
"Hackney","London",267,607.7482142857143,235831946.86973444
"Hammersmith and Fulham","London",150,914.1497651822516,1837093854.1646678
"Haringey","London",59,170.88782051282053,22782151.064102564
"Harrow","London",78,161.1934704184704,45872639.95705267
"Havering","London",56,378.42196006524136,110009700.48300683
"Hillingdon","London",85,1107.6238627880766,187008539.1567025
"Hounslow","London",69,2513.3849088838733,1821648840.187407
"Islington","London",629,13816.794124621609,2915789886.7157364
"Kensington and Chelsea","London",154,725.1661600810537,358428736.7973658
"Kingston upon Thames","London",52,274.1179144670186,1144981017.0999973
"Lambeth","London",233,1050.1847449651798,1998538147.859599
"Lewisham","London",48,162.69918669222074,98472144.20809376
"Merton","London",76,902.3335869182937,180189080.6917809
"Newham","London",83,654.2324266548725,209083153.94885007
"Redbridge","London",80,226.2565162907268,28502530.116123643
"Richmond upon Thames","London",83,156.27777777777777,17111938.027777776
"Southwark","London",262,9651.959557263364,4334433644.035226
"Sutton","London",53,2379.06461340863,332111884.1197536
"Tower Hamlets","London",347,10390.044763032416,3600902695.265056
"Waltham Forest","London",41,205.41904761904763,63717694.047619045
"Wandsworth","London",108,684.7502906271357,263038392.97467747
"Westminster","London",1787,22337.58850497925,28182286388.706947
"Antrim and Newtownabbey",NA,57,791.9779448621554,746748519.3002506
"Armagh City, Banbridge and Craigavon",NA,61,500.5777006619112,188974625.9293715
"Belfast",NA,275,6398.540809976336,2613178105.7270722
"Causeway Coast and Glens",NA,53,391.5330891330891,128203519.35531135
"Derry City and Strabane",NA,43,1004.718970503181,367062737.99127626
"Fermanagh and Omagh",NA,27,260.94397050318105,69161373.574609593
"Lisburn and Castlereagh",NA,101,549.945972969314,181451524.092082
"Mid and East Antrim",NA,141,1054.6310917153023,577841796.8947395
"Mid Ulster",NA,102,676.6757204148508,335931291.3534919
"Newry, Mourne and Down",NA,83,892.0015285248695,164454263.50874865
"Ards and North Down",NA,30,148.83412201833255,60944740.165518686
"Clackmannanshire",NA,22,108.69924812030075,19876163.740601502
"Dumfries and Galloway",NA,62,690.42209473533,147756010.51026
"East Ayrshire",NA,96,465.778345567476,140042886.61325994
"East Lothian",NA,33,338.73118279569894,94314038.76964433
"East Renfrewshire",NA,16,150,23126304.166666668
"Na h-Eileanan Siar",NA,22,44,2659818
"Falkirk",NA,70,538.536718183777,390068672.10977256
"Highland",NA,210,1471.3239860403696,696353966.2136847
"Inverclyde",NA,55,81.05263157894737,52024508.21052632
"Midlothian",NA,47,222.9502688172043,33841511.03888889
"Moray",NA,39,544.9820136852395,462993770.2798957
"North Ayrshire",NA,79,1376.1379205802768,841800872.3545554
"Orkney Islands",NA,30,172.33333333333334,10150916.333333334
"Scottish Borders",NA,29,85.75,7397645.5
"Shetland Islands",NA,12,425.14342188488297,411180025.90259326
"South Ayrshire",NA,42,192.11666666666667,43755679.583333336
"South Lanarkshire",NA,291,1496.4553451932372,721062284.7761161
"Stirling",NA,57,488.9767552182163,615844644.4025933
"Aberdeen City",NA,342,35480.875933574214,6738643296.265183
"Aberdeenshire",NA,105,1736.633069354716,786321980.9655569
"Argyll and Bute",NA,38,502.5937019969278,422716020.14208907
"City of Edinburgh",NA,862,4163.885273925571,5850486660.594769
"Renfrewshire",NA,82,619.7020820185782,303273206.9868076
"West Dunbartonshire",NA,33,246.1612781954887,70891493.50025062
"West Lothian",NA,76,397.34011844126445,52623659.23358396
"Angus",NA,43,780.522670250896,491095462.6114661
"Dundee City",NA,57,747.6424820352589,525946600.1012148
"East Dunbartonshire",NA,16,81.80448717948718,11436907.397435896
"Fife",NA,135,1064.1033768399532,298027166.13808405
"Perth and Kinross",NA,201,4946.935620677082,6289326625.891225
"Glasgow City",NA,613,5552.4649235520565,17273817563.48739
"North Lanarkshire",NA,362,1888.683111486382,1197751523.6901839
"Isle of Anglesey",NA,72,629.1948046048697,166743156.6457943
"Gwynedd",NA,25,473.3034759358289,730651297.8440285
"Conwy",NA,185,122.79361403407893,39733609.74734849
"Denbighshire",NA,215,164.7350118835413,56209983.54179293
"Flintshire",NA,67,753.9075852239097,146618380.7425338
"Wrexham",NA,92,1422.078820935926,300650521.0563473
"Ceredigion",NA,28,195.46134992458522,30586322.515082955
"Pembrokeshire",NA,69,247.85145148968678,61804858.52457347
"Carmarthenshire",NA,76,2966.038621345138,1070591275.6401901
"Swansea",NA,62,431.06499552817024,83566786.4824575
"Neath Port Talbot",NA,31,250.89761904761906,68744113.10238095
"Bridgend",NA,74,915.6697132616488,245922954.04982078
"Vale of Glamorgan",NA,30,177.99575163398694,27148443.034313727
"Cardiff",NA,381,5995.297044122058,1906505094.7356534
"Rhondda Cynon Taf",NA,47,1268.8379658602719,545382277.8763864
"Caerphilly",NA,52,446.7425035639476,85691259.48217563
"Blaenau Gwent",NA,10,66,14002182.666666666
"Torfaen",NA,18,403.63457780560856,75032643.92842825
"Monmouthshire",NA,25,52.291666666666664,4534260.666666667
"Newport",NA,57,1368.1875948172137,546026406.6103001
"Powys",NA,72,655.172735760971,171343052.80018675
"Merthyr Tydfil",NA,6,19.073529411764707,5889200.117647059
