LAD23NM,No_Companies,GVA,Turnover,Employees,InnovateFunding,DealroomFunding
Salford, 77 ," 52,026,865 "," 291,784,385 ", 777 ," 1,228,266 "," 1,110,000 "
Sefton, 38 ," 15,385,977 "," 25,436,189 ", 240 ," 2,817,879 "," 5,200,000 "
Sheffield, 104 ," 176,582,126 "," 198,714,959 "," 2,178 "," 12,906,249 "," 495,269,990 "
South Ribble, 29 ," 5,234,105 "," 8,834,045 ", 70 , -   , -   
South Tyneside, 12 ," 8,363,836 "," 5,153,967 ", 117 , -   , -   
St. Helens, 29 ," 13,634,064 "," 22,602,620 ", 189 ," 480,000 ", -   
Stockport, 87 ," 59,644,249 "," 212,093,255 ", 888 ," 91,594 ", -   
Stockton-on-Tees, 44 ," 202,940,544 "," 1,214,752,736 "," 1,393 "," 1,779,947 "," 670,000 "
Sunderland, 73 ," 179,164,291 "," 369,522,887 "," 1,555 "," 16,591,813 "," 50,339,999 "
Tameside, 26 ," 7,294,794 "," 10,081,685 ", 138 , -   , -   
Trafford, 119 ," 77,108,594 "," 417,917,517 "," 1,050 "," 290,091 "," 600,000 "
Wakefield, 41 ," 61,706,365 "," 221,656,220 "," 1,151 ", -   , -   
Warrington, 92 ," 544,242,344 "," 11,736,587,884 "," 8,304 "," 3,258,852 "," 6,240,000 "
West Lancashire, 31 ," 18,761,496 "," 70,736,458 ", 359 ," 55,464 ", -   
Westmorland and Furness, 84 ," 70,649,062 "," 231,965,517 ", 915 ," 1,503,737 "," 1,190,000 "
Wigan, 60 ," 1,067,926,383 "," 2,016,735,282 "," 7,695 ", -   , -   
Wirral, 62 ," 32,732,023 "," 150,802,215 ", 550 ," 282,446 "," 230,000 "
Wyre, 32 ," 110,443,857 "," 387,537,839 ", 699 ," 3,752,996 "," 40,000 "
York, 35 ," 9,273,422 "," 28,521,351 ", 230 ," 44,218,877 "," 550,000 "
