"LAD23NM","No_sites","GVA","Turnover","Employees","InnovateFunding","DealroomFunding"
"Oldham",69,63592457.77628531,271991565.91631824,872.9808430678169,40919.22279716455,0
"Pendle",37,50056459.72742333,96854582.8611111,411.93055555555554,0,0
"Preston",107,165709806.4028611,511730694.89938164,1500.1188746322327,14392.713768115942,4549999.9525
"Redcar and Cleveland",115,73025257.43142745,739036815.1201096,730.7574929406637,1413541.7959872647,37715000.6035
"Ribble Valley",22,17214268.374455303,42713825.96363636,186.4848484848485,23652.59090909091,0
"Rochdale",64,22715468.610701367,241602158.2152778,278.94529914529915,95891.03076923077,195000000
"Rossendale",15,5461194.041643334,7484481,71.33333333333333,49448,0
"Rotherham",75,58702980.206852496,319102046.1854665,754.551847764961,548716.8606557377,54928334.13533333
"Salford",143,119899234.55209355,548970069.2943888,1520.1078222018607,1474574.3130380402,1110000.014
"Sefton",65,59144208.087214835,178943647.8122073,655.4669178625873,2989399.5322731957,5299999.813
"Sheffield",219,287191455.2043635,910874590.0757694,3595.241368278675,13005948.972968958,589068323.3713334
"South Ribble",70,18481972.69696598,42004852.133507356,250.76111234117596,2792.2988824537074,0
"South Tyneside",48,63169271.76496213,270696353.93493474,620.8180756912465,38810601.291744836,0
"St. Helens",72,47846551.33903869,190614207.46526745,532.4248267218505,539947.1190254884,0
"Stockport",134,42282130.972955756,442201061.9835873,680.5134804662837,119115.32274247492,0
"Stockton-on-Tees",93,243313428.74775013,1374459990.2848377,1810.1064261863944,1193751.606023584,335000.0085
"Sunderland",174,364872559.6842325,2569455917.6343303,4029.59785471748,13517484.499322819,42234999.412
"Tameside",95,37652362.18034471,162339084.02500835,402.73898736529173,50487.69872909699,0
"Trafford",388,156234631.94070733,842172455.0562303,2249.947165571583,377544.5198331211,600000.024
"Wakefield",119,131024650.17690256,649833026.3369485,2489.954263343004,48486.777746890664,0
"Warrington",201,318617129.4427609,8005600868.218017,8100.249509674363,242822.66161482836,1466666.6137083333
"West Lancashire",62,25079491.741641354,100713216.04503547,446.0983029381965,23642.20425531915,0
"Westmorland and Furness",354,159083898.15825123,358267413.4010179,1418.5358947009902,684422.5747816527,729999.9993333333
"Wigan",153,1074696963.7694495,2256575206.197341,8114.117390548683,413340.0536975102,2275000.1046666666
"Wirral",182,111152662.34425284,382996493.7368607,1213.1650069786524,282507.7611377664,1789999.94675
"Wyre",58,107110206.80201557,401503181.90112627,799.377583473675,1882201.1964705046,19999.9995
"York",132,66307428.84629429,547452507.0725641,874.3791819034691,22475064.503070343,275000.006
